"alpha"	"sigmasq.n"	"iter"	"exclu"
8	1.3	2	1483.18351688878
8	0.7	5	1447.976775529
6	1.3	5	1428.04495417344
8	1	2	1401.99860475874
8	0.7	2	1399.6103491546
6	1	5	1359.43387496469
8	1	5	1315.51815632991
8	1.3	4	1245.40161897213
8	1	4	1219.98822024785
6	0.7	5	1219.93952207126
8	1.3	5	1008.56783093326
4	1	2	1004.054094381
4	0.7	4	952.204093574444
8	0.7	4	923.881141066951
4	0.7	5	899.420011209313
4	0.7	2	881.370920372112
8	1.3	3	748.255029914682
8	1	3	741.148784341308
8	0.7	3	717.403271273575
4	1	5	711.37697498178
4	0.7	3	704.527392725637
6	0.7	4	683.481918299986
8	0.7	1	664.317359584535
4	1.3	2	663.591006964003
6	0.7	2	578.344599759381
4	1.3	5	571.918609220368
6	1	4	541.735230846558
4	1	4	485.549523967074
6	0.7	3	410.688806143997
6	0.7	1	318.42799104753
4	0.7	1	42.9255841995281
8	1	1	41.1962920809629
6	1	1	31.2002946307636
4	1	3	-66.7112791149278
6	1	2	-98.5185906027749
6	1.3	4	-144.952336338519
8	1.3	1	-155.846934162521
4	1	1	-170.905641720297
6	1	3	-220.14458031446
6	1.3	3	-230.412222332826
6	1.3	2	-231.408374447565
4	1.3	4	-248.825477840171
4	1.3	3	-253.701748469896
4	1.3	1	-321.550649790779
6	1.3	1	-412.065720364779
