"alpha"	"sigmasq.n"	"iter"	"exclu"
6	0.8	4	2655.40432767694
6	1	4	2192.18954197814
6	0.8	1	1880.06597192292
6	0.8	5	1800.97975677234
6	1.2	4	1771.9089631071
6	1	5	1748.52123976298
6	1	2	1439.02049043469
6	0.8	2	1435.03580035036
6	1.2	5	1362.68177567312
6	1.2	2	1189.03754937438
4	0.8	2	877.637687487901
4	1	1	853.934634899741
4	1.2	4	849.647660794533
4	0.8	4	838.197404026497
6	0.8	3	683.011596312005
4	0.8	1	669.038412086551
4	1.2	1	623.284900029085
6	1	1	521.757639228975
4	1	4	464.265965163787
4	1	2	451.637084832424
4	1	5	244.634532741198
4	0.8	5	211.706536182383
4	1.2	5	150.801846413856
4	0.8	3	116.06726366955
6	1	3	107.206262523594
4	1	3	-143.925838420004
4	1.2	2	-193.981143477797
6	1.2	1	-197.266752255682
6	1.2	3	-211.451124893076
2	0.8	4	-432.446947113949
2	1.2	5	-616.63467239755
2	1	4	-694.415369701778
4	1.2	3	-751.593769768559
2	1.2	2	-814.13372896673
2	0.8	5	-843.552269817257
2	0.8	2	-874.906737304554
2	1	5	-922.439026810168
2	1	3	-959.322279190879
2	1.2	4	-981.127924541477
2	1	2	-1005.93354733995
2	1.2	1	-1026.57654422003
2	0.8	1	-1107.45574530783
2	0.8	3	-1141.98872401128
2	1	1	-1170.83602075332
2	1.2	3	-1191.87215680145
