test,Z1,Z2,stars,n_words,useful,useful_discrete,n_fans,n_reviews
1,1,1,5,176,0,0,0,3
1,1,0,4,940,39,3,330,1224
0,0,0,4,131,1,1,113,1864
1,0,0,1,18,0,0,0,6
1,0,0,5,63,0,0,0,15
1,1,0,5,216,0,0,0,8
1,0,0,4,170,0,0,2,162
1,1,1,4,117,0,0,1,51
1,0,0,5,24,0,0,0,3
1,1,0,3,392,1,1,36,369
1,1,1,5,24,2,1,12,197
0,1,1,5,118,0,0,3,53
1,0,0,1,62,0,0,46,1893
0,1,1,5,48,3,1,1,7
1,0,0,5,69,0,0,1,69
0,1,1,4,33,1,1,4,36
1,1,0,5,257,1,1,31,406
1,0,0,4,98,1,1,2,76
0,1,0,5,403,1,1,25,424
1,0,0,3,302,2,1,31,235
0,1,1,4,125,1,1,1,19
1,1,1,3,43,0,0,1,88
1,0,0,5,190,0,0,0,6
1,0,0,4,302,1,1,3,153
0,1,1,4,27,0,0,0,2
1,1,1,5,131,51,3,62,664
1,1,1,3,76,0,0,3,62
1,1,1,5,63,1,1,6,114
0,0,0,5,190,1,1,5,225
1,1,1,2,276,0,0,1,37
0,1,1,4,94,0,0,72,1152
0,1,1,5,41,0,0,0,5
0,1,1,3,142,1,1,55,377
1,0,0,1,110,0,0,1,17
1,0,0,5,85,0,0,0,5
0,1,1,5,90,0,0,1,50
1,0,0,5,10,0,0,0,16
0,1,1,4,81,0,0,0,10
1,0,0,3,43,0,0,0,16
1,0,0,5,31,0,0,0,4
0,1,1,5,52,1,1,15,138
1,0,0,3,196,2,1,46,826
0,1,1,2,10,0,0,0,4
1,1,0,4,285,0,0,17,179
0,1,1,5,70,2,1,3,70
1,0,0,1,221,3,1,22,281
1,1,1,4,51,0,0,0,5
0,1,1,5,18,0,0,2,72
1,1,1,5,169,0,0,2,15
1,0,0,4,82,0,0,1,109
0,0,0,1,150,0,0,0,2
0,1,0,5,293,4,1,32,419
1,1,1,4,161,2,1,24,471
1,0,0,5,39,0,0,0,16
1,0,0,4,71,0,0,18,297
0,1,1,4,152,0,0,12,693
1,0,0,1,70,0,0,2,490
0,1,1,3,42,0,0,0,30
0,1,1,5,88,0,0,0,31
1,0,0,2,117,0,0,1,59
0,0,0,5,143,0,0,0,21
1,1,0,4,542,4,1,3,38
0,1,1,5,114,1,1,29,182
0,1,1,5,54,0,0,1,31
1,0,0,5,70,0,0,1,34
1,0,0,5,27,0,0,8,53
0,1,1,4,68,0,0,0,15
1,0,0,4,54,0,0,3,43
1,1,0,1,737,1,1,1,26
0,1,1,5,162,0,0,33,699
0,1,1,5,50,0,0,0,5
1,1,1,5,160,0,0,13,48
1,0,0,1,94,0,0,1,8
1,0,0,5,35,0,0,0,21
0,1,1,4,24,0,0,0,202
1,0,0,5,35,0,0,1,17
0,1,1,2,72,4,1,5,70
1,1,0,1,320,1,1,2,31
1,0,0,2,25,0,0,3,114
1,0,0,2,49,0,0,0,4
1,0,0,5,121,0,0,0,8
1,0,0,3,44,0,0,0,46
1,0,0,3,205,0,0,10,208
0,0,0,5,139,1,1,2,60
1,1,1,5,115,1,1,3,153
1,0,0,2,78,0,0,1,7
1,0,0,1,85,1,1,0,27
1,0,0,5,43,0,0,0,6
0,0,0,4,166,8,2,39,417
1,1,0,5,565,7,2,16,175
1,0,0,4,246,1,1,33,335
1,1,1,1,238,9,2,0,5
0,1,1,2,58,2,1,1,30
