"is_test_data","Z1","Z2"
1,1,1
1,1,1.79052424154339e-180
0,2.00690553534692e-27,9.84297740438449e-43
1,1.49356690611592e-50,1.3810000865632e-12
1,9.99624964770588e-40,2.34777135983312e-26
1,0.999962577969961,7.57866523823411e-14
1,4.07300418285362e-08,1.21636973190114e-65
1,1,1
1,6.44619532093802e-48,6.57908495527321e-16
1,1,3.91023187270778e-37
1,1,1
0,1,1
1,3.09161137894438e-42,4.11423756794106e-23
0,1,1
1,1.51856310600555e-40,2.46807785621061e-25
0,1,1
1,0.999999999994148,5.11536599139112e-23
1,3.2266075252185e-42,3.67236300764947e-23
0,0.999999995205372,4.45687312850942e-19
1,0.00301289868569439,5.83204072409426e-72
0,1,1
1,1,1
1,4.43371701963188e-14,1.4046963482932e-58
1,0.0143718504044909,6.66750467687273e-72
0,1,1
1,1,1
1,1,1
1,1,1
0,2.00407619596546e-19,4.92758963987093e-53
1,1,0.999939185681429
0,1,1
0,1,1
0,1,1
1,2.02509173906359e-41,3.50464314922302e-24
1,8.79622302093757e-37,3.71133292228559e-30
0,1,1
1,1.24945779727979e-49,9.92129110131313e-14
0,1,1
1,3.83798004836259e-45,2.76276340666707e-19
1,3.38182135469095e-47,6.78592805529415e-17
0,1,1
1,1.15844527907099e-06,8.95325222120723e-68
0,1,1
1,0.586950723662572,4.39224879843798e-36
0,1,1
1,6.92244213491519e-10,1.68871427780326e-63
1,1,1
0,1,1
1,1,0.999999999999999
1,4.26667732335276e-37,1.5656197665852e-29
0,4.66561868234586e-22,1.98913387938125e-49
0,0.999999999999989,6.72874096405783e-26
1,1,1
1,7.00679621388391e-47,2.3536872617448e-17
1,6.75148266611167e-41,6.94993960893405e-25
0,1,1
1,2.47436389256247e-40,1.48368455757274e-25
0,1,1
0,1,1
1,3.14566355706772e-31,3.42256561542605e-37
0,9.90935596354708e-20,1.31820646274069e-52
1,1,5.6729699711256e-58
0,1,1
0,1,1
1,1.67280364350236e-43,2.07422047874007e-21
1,4.4469516410771e-50,3.66516254173941e-13
0,1,1
1,2.07630924627739e-44,1.71538861478743e-20
1,1,4.25172542063709e-125
0,1,1
0,1,1
1,1,1
1,6.93493281515657e-38,8.81784105030713e-29
1,3.24995823878701e-46,3.78632724356231e-18
0,1,1
1,3.50786235573361e-48,1.31387946972468e-15
0,1,1
1,0.650069191747673,1.26788229580295e-31
1,6.74826421888322e-50,1.96173411429722e-13
1,2.51534508807433e-45,3.15838123193339e-19
1,2.3613951308462e-30,6.93968710028494e-38
1,1.30571807630765e-44,3.63191725368774e-20
1,0.207831994842037,2.31049073338208e-61
0,2.51013400584604e-23,8.62056440994343e-48
1,1,1
1,7.56420819549388e-38,1.03232084734284e-28
1,6.85589309549541e-40,3.75055125320914e-26
1,1.26463082484491e-40,3.96216155361333e-25
0,6.8242919810708e-18,5.34960511390121e-55
1,1,2.0727882348241e-84
1,1.02025741464771e-16,2.54195197355231e-55
1,1,0.999992903451776
0,1,1
1,3.70166554489071e-31,6.35423194538975e-37
1,1.92845245814103e-28,1.46506220168195e-40
0,1,1
0,1,1
1,1.51300461801361e-37,4.29159528217425e-29
1,4.72091290823407e-47,4.4698126631937e-17
1,2.35644372734099e-45,4.18578252955917e-19
0,1,1
1,1.39839622597171e-09,2.371039888888e-64
1,4.754583694909e-39,3.14516581706114e-27
1,7.62205284193265e-43,1.99778293752445e-22
0,1,1
1,4.13915412809647e-41,2.12912169975974e-24
0,2.37723061184399e-27,8.26738215469044e-43
1,3.13536827171621e-45,2.11214266146435e-19
1,1,0.999998788433985
1,0.999999999999945,6.83088031046829e-26
1,1,1
1,2.45416114184993e-36,1.05367070337225e-30
1,1.04938906641854e-37,4.58689196761771e-29
1,1,1
0,4.41231420364045e-09,3.97582928982976e-66
1,1,7.08270243404609e-34
0,1,1
1,1,1
1,2.78916656466279e-37,1.62778834184201e-29
1,1,1
0,2.57795287239942e-14,1.25788406890394e-59
0,1,1
0,1,1
1,1.10674733718299e-26,4.47875942423585e-43
1,1,1.3979219153651e-105
1,2.78745133888036e-35,4.88084571381443e-32
1,4.68963510511205e-41,1.53335717152874e-24
1,1,1
1,1,1
1,6.89655878005187e-28,2.36140789695948e-41
1,1.05951226780605e-37,7.49507933257919e-29
1,3.66467034227268e-28,2.23883396722116e-40
1,1,1
1,1.68978293109309e-24,1.68094279034827e-45
1,1,1
0,1,1
1,9.15427801056723e-39,1.22196583314906e-27
0,1,1
1,3.723560077043e-49,1.77551257998315e-14
0,1,2.2513352239443e-87
1,3.88400632145099e-48,1.26628551472674e-15
1,8.77524894991953e-38,9.47495922614526e-29
0,1,1
1,4.05983307976509e-47,7.4721233563338e-17
1,1.32518739973118e-39,1.98682440767468e-26
0,1,1
1,2.74670775208672e-44,1.76930097135477e-20
1,0.962857606109731,1.0293136797342e-12
1,1.39456004028907e-29,3.80053101485025e-39
1,9.36438947746463e-39,1.35004436397981e-27
1,1.24879195640886e-39,1.69192214506876e-26
0,1,1
1,1.39888501025015e-43,1.14030828711349e-21
0,1,1
1,4.31243602920813e-32,1.32560704632213e-35
1,1,1
0,1,1
1,1,0.999999999996026
1,9.91363445854162e-47,2.35315879382474e-17
1,1,0.999999984340207
0,1,1
0,1,1
0,1,1
1,5.43727957878498e-15,1.4810978217441e-57
0,0.999999999930345,5.55074980882658e-21
1,1,0.918620856616339
1,3.09051375431765e-19,3.9988662123894e-52
1,5.96564790063568e-11,4.02552241232109e-62
1,1.34418742463228e-29,2.1969566692034e-39
1,9.67001849109745e-12,8.94141151988379e-62
0,1,1
1,1,4.988134511058e-55
1,1,0.837107424837761
0,1,1
0,2.06236366011944e-14,2.39779626559761e-59
0,1,1
1,1,1
1,1.40197463594367e-41,1.08279042858177e-23
1,0.999999999999941,9.36220278552984e-25
1,1,1
1,3.80619607479673e-27,3.47600499409797e-42
1,6.09637895550609e-49,1.17118280944328e-14
1,2.10806931751598e-27,1.10963593212339e-41
0,1,1
0,1,1
1,5.69771761888354e-51,4.25210440130881e-12
1,2.54412846362452e-42,5.28152091186143e-23
1,3.06918879154987e-20,5.66011310789092e-51
1,1,0.999998933766559
0,1.57498764394463e-21,8.47052430709153e-51
1,9.33688070169477e-47,2.55595787658209e-17
0,1,1
1,1.20146154297573e-28,1.54208016182476e-40
1,9.49828960186781e-37,4.08192621907368e-30
1,2.50253020007206e-49,3.58364880595567e-14
1,1.46492737828407e-52,4.75395289427693e-10
1,7.48852461421726e-17,4.61998675302679e-55
1,2.21027476851176e-45,4.06536352432242e-19
1,7.10278063151298e-48,4.58658138720337e-16
0,1,1
0,1.17466893382344e-16,1.32762206558106e-56
1,1,1.03149439227433e-29
1,6.10155787665613e-13,4.66539718090003e-60
1,5.88471518214324e-35,2.11650310261542e-32
1,5.80802365023299e-16,1.95494592653021e-56
1,1.68240006258936e-47,1.48688787090059e-16
1,1,1
1,1.51244677637846e-38,7.34718524314722e-28
0,1,1
0,4.08134043802198e-22,7.81611654430494e-50
0,1,1
0,1,1
1,9.16227178064957e-12,9.30204529978156e-62
1,7.91191556558434e-27,1.69417869807619e-42
1,1.56636283712921e-43,9.46669225571246e-22
1,8.6196224452441e-44,3.01854521156473e-21
1,1.57247182508272e-47,2.11888365156875e-16
0,1,1
1,2.2103739213536e-38,3.6715072410777e-28
1,1,4.77663853732954e-42
1,1,1
1,5.6548265394624e-40,8.07278772344953e-26
1,1.22582356115382e-27,6.18335508451945e-42
0,1.0823856392151e-18,2.09865244240444e-53
1,1.35663227677655e-48,4.23158446761152e-15
0,1,1
1,7.05545493208706e-50,1.80682482969678e-13
1,1.08595748200846e-42,1.25037894879368e-22
1,4.10356851404189e-48,1.00382803369344e-15
