buffet,$,dessert
0,1,0,0
1,6,7,4
2,0,1,3
3,1,0,0
4,1,0,0
5,1,0,2
6,2,1,1
7,2,1,1
8,0,0,0
9,4,4,0
10,1,0,1
11,0,0,1
12,2,0,0
13,1,0,0
14,0,0,2
15,1,0,0
16,2,2,1
17,1,0,0
18,0,2,2
19,5,0,2
20,2,0,1
21,3,1,0
22,1,1,2
23,3,0,1
24,0,0,0
25,2,0,0
26,2,1,1
27,2,0,1
28,0,0,1
29,6,2,0
30,1,1,1
31,0,0,0
32,0,1,0
33,1,1,0
34,2,0,1
35,1,0,0
36,0,0,0
37,2,1,3
38,1,0,0
39,1,0,0
40,0,0,1
41,3,1,2
42,0,0,0
43,1,5,1
44,0,0,0
45,4,0,0
46,2,0,0
47,2,0,0
48,5,0,1
49,0,0,1
50,1,1,2
51,0,1,1
52,6,0,2
53,0,0,1
54,2,1,1
55,0,2,2
56,1,1,0
57,0,4,0
58,0,0,1
59,2,0,1
60,0,3,1
61,3,0,4
62,1,0,1
63,1,0,0
64,0,0,0
65,2,0,0
66,2,1,0
67,1,0,1
68,4,3,4
69,1,1,1
70,1,0,1
71,3,2,2
72,1,1,0
73,0,0,1
74,1,0,0
75,2,0,0
76,1,0,0
77,3,1,0
78,0,0,0
79,1,0,0
80,2,0,1
81,0,1,0
82,4,3,3
83,0,0,3
84,0,0,0
85,2,0,0
86,0,0,0
87,1,0,1
88,3,0,0
89,10,1,1
90,2,1,1
91,1,2,0
92,1,1,0
93,2,0,1
94,3,0,1
95,1,0,1
96,0,0,0
97,3,0,0
98,0,3,0
99,0,0,0
100,1,2,0
101,3,1,2
102,0,0,0
103,2,0,1
104,0,0,0
105,0,0,1
106,1,2,1
107,1,0,0
108,2,2,0
109,2,0,0
110,5,0,1
111,2,0,1
112,0,1,0
113,0,0,2
114,5,0,4
115,1,1,1
116,1,0,0
117,4,1,1
118,3,0,0
119,2,0,0
120,3,0,0
121,0,1,1
122,3,0,1
123,3,2,1
124,5,0,4
125,0,0,0
126,3,0,0
127,2,2,2
128,1,0,0
129,1,0,1
130,0,0,0
131,0,0,1
132,0,0,0
133,1,0,0
134,0,1,0
135,2,0,0
136,1,0,0
137,0,0,0
138,0,0,0
139,6,2,1
140,1,0,0
141,1,0,0
142,0,2,0
143,1,0,0
144,0,1,0
145,0,0,1
146,2,0,0
147,4,0,1
148,2,0,0
149,1,0,1
150,0,0,0
151,0,0,1
152,0,0,0
153,2,0,0
154,2,0,1
155,2,1,1
156,0,1,0
157,5,2,1
158,1,0,1
159,3,1,0
160,0,0,0
161,1,1,0
162,2,0,0
163,5,0,1
164,6,0,0
165,1,0,0
166,2,1,1
167,0,1,1
168,1,1,1
169,11,2,0
170,1,0,0
171,4,1,2
172,3,1,0
173,1,0,0
174,5,0,2
175,0,0,0
176,2,3,0
177,1,0,1
178,1,0,1
179,1,0,1
180,0,1,2
181,0,0,0
182,2,0,1
183,0,0,0
184,2,1,0
185,1,0,0
186,0,0,0
187,1,0,0
188,2,0,0
189,1,0,1
190,2,0,0
191,1,0,0
192,2,2,0
193,1,0,1
194,0,0,0
195,0,0,0
196,2,2,0
197,1,0,0
198,0,0,0
199,1,1,0
200,4,0,1
201,5,1,1
202,2,1,2
203,1,0,2
204,2,3,1
205,0,0,0
206,3,0,0
207,0,0,0
208,0,0,0
209,1,2,0
210,0,0,0
211,0,0,1
212,1,0,2
213,3,0,0
214,0,3,0
215,1,0,0
216,2,0,0
217,1,3,0
218,2,0,0
219,9,1,0
220,1,0,1
221,0,0,0
222,1,1,0
223,1,0,2
224,2,0,0
225,1,1,2
226,1,0,0
227,2,0,0
228,1,0,0
229,0,0,0
230,0,2,1
231,6,0,1
232,2,0,0
233,1,0,1
234,1,4,0
235,1,0,0
236,7,2,3
237,1,0,0
238,3,1,2
239,4,1,0
240,0,2,0
241,2,0,0
242,2,0,2
243,0,0,3
244,0,2,0
245,0,0,0
246,0,0,0
247,1,0,4
248,0,0,0
249,0,2,0
250,2,1,1
251,1,0,0
252,2,0,0
253,1,0,1
254,3,0,1
255,2,2,0
256,3,0,0
257,1,1,0
258,4,0,0
259,0,0,0
260,10,1,1
261,0,0,0
262,1,0,0
263,0,0,0
264,2,0,1
265,3,4,0
266,1,0,0
267,3,1,1
268,3,0,0
269,4,1,1
270,0,0,1
271,2,0,0
272,0,0,0
273,0,0,2
274,1,0,0
275,1,0,0
276,1,0,1
277,2,0,0
278,0,0,0
279,7,0,2
280,1,0,2
281,0,1,0
282,1,1,0
283,8,1,1
284,2,0,0
285,0,0,0
286,2,0,1
287,0,0,1
288,0,1,0
289,7,6,1
290,0,1,0
291,3,0,0
292,3,3,1
293,4,0,0
294,1,0,0
295,2,1,1
296,0,1,0
297,2,0,0
298,1,0,0
299,3,1,0
300,4,2,0
301,3,0,1
302,1,1,0
303,2,0,0
304,4,4,4
305,2,0,0
306,2,1,1
307,4,2,3
308,1,1,1
309,3,0,0
310,1,0,0
311,0,0,0
312,0,0,0
313,1,0,0
314,0,0,1
315,2,2,1
316,1,2,0
317,1,0,2
318,0,0,0
319,3,1,1
320,0,0,1
321,0,0,2
322,0,1,1
323,3,0,0
324,1,1,0
325,2,0,0
326,2,0,1
327,8,1,1
328,0,0,0
329,1,0,0
330,3,0,1
331,2,0,1
332,1,0,1
333,5,0,3
334,0,0,1
335,1,0,0
336,0,1,0
337,0,0,0
338,3,0,0
339,1,0,0
340,0,0,1
341,1,2,0
342,4,0,1
343,3,1,0
344,1,0,0
345,0,0,0
346,1,1,0
347,0,2,0
348,2,0,0
349,1,0,0
350,5,0,0
351,1,0,0
352,0,0,0
353,0,0,0
354,1,0,0
